Region,Q1,Q2,Q3,Q4,Q5,Q6:1,Q6:2,Q6:3,Q6:4,Q6:5,Q6:6,Q7:1,Q7:2,Q7:3,Q7:4,Q7:5,Q7:6,Q8,Q9,Q9a,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16a,Q16b,Q16c,Q16d,Q17,Q18,Q19,Q20:1,Q20:2,Q20:3,Q20:4,Q21,Q21a,Q21b,Q21c,Q21d,Q21e,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q28a,Q28b,Q28c,Q28d,Q29,Q29a,Q29b,Q29c,Q29d,Q29e,Q29f,Q29g,Q29h,Q29i,Q29j,Q29k,Q30,Q31,Q32:1,Q32:2,Q32:3,Q32:4,Q32:5,Q32:6,Q32:7,Q32:8,Q33:1,Q33:2,Q33:3,Q33:4,Q33:5,Q33:6,Q34,Q35,Q36,PosNeg,ServiceArea
Inner South,3 to 5 years,English,Migrant (not born in Australia),50-59,Yes ,Repairs and maintenance,,Rent,Residency transfer,,,By phone,,,,,,No,Fairly satisfied,Fairly satisfied,Fairly satisfied,Yes,Fairly satisfied,Very satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,,By phone,,Neither satisfied nor dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Yes,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,,,,,,,Employment opportunities,Training opportunities,,Social activities,,Very satisfied,Very satisfied,Negative comments regarding maintenance issues solely relate to the recent ComfyFirst contractors and not Housing First maintenance team ad a whole. Normal practice will resume once all works are completed.,Neutral,Other
Inner South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,No ,,,,,,,,,,,,,,,,Fairly satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Not a problem at all,Major problem,Minor problem,Minor problem,Not a problem at all,Major problem,Major problem,Minor problem,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,No,,,,,,,,Lack of interest,,,,,,,Neither satisfied nor dissatisfied,Fairly satisfied,,,
Inner South,Less than a year,English,Born in Australia (not Aboriginal or Torres Strait Islander),70-79,Yes ,,,,,,Other,By phone,,,,,,No,Very dissatisfied,Fairly dissatisfied,Very dissatisfied,Yes,Fairly satisfied,Neither satisfied nor dissatisfied,Yes,Yes,Fairly dissatisfied,Fairly dissatisfied,Very dissatisfied,Very dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,No,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Fairly satisfied,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,,,,,Lack of interest,,,,,Social activities,,Fairly dissatisfied,Neither satisfied nor dissatisfied,,,
Inner South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,,,,,,,,,,,,,,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Unsure,No opinion,Fairly satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,By phone,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,No opinion,No opinion,No opinion,No,,No opinion,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,Major problem,,,,,,,,,,No,Unsure,,,Family care responsibilities,,,,,,,,,,,,Fairly satisfied,Fairly satisfied,,,
Inner South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,Repairs and maintenance,,Rent,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,By phone,,Fairly satisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,No,,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Major problem,Major problem,Minor problem,Major problem,Major problem,Major problem,Minor problem,Major problem,Major problem,Not a problem at all,Minor problem,No,No,Location of the meetings,,,Times/day of meetings,,,,,,,,,,Other,Very satisfied,Very satisfied,"Housing First itself is fabulous.  It is some residents who are noisy, messy, vandals who show no care for others or their surroundings, who are the problem. I don't think there is a solution to that.",Positive,HousingFirst generally
Inner South,3 to 5 years,English,Migrant (not born in Australia),40-49,Yes ,Repairs and maintenance,Neighbourhood issues,,,,Other,By phone,,,By email,,,Unsure,Neither satisfied nor dissatisfied,Very dissatisfied,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Very dissatisfied,Very dissatisfied,Fairly dissatisfied,Very dissatisfied,Fairly dissatisfied,Fairly satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,,Fairly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Fairly dissatisfied,Very satisfied,Very satisfied,Fairly satisfied,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Minor problem,Major problem,Major problem,Major problem,Minor problem,Minor problem,No,No,,Transport cost,,Times/day of meetings,,No feedback received or lack of action,,,,,,,,Other,Very satisfied,Fairly satisfied,"I recently reported a parcel missing in the hallway, I made a police report, and a letter of complaint to my house manager... The parcel cost around $450-$500AUD that I needed for my work... Not just I lost my work cause I don't get the parcel but also I lost money. ... During the investigation with all the stress and anxiety... I got a call from the police saying that the camera is not working, such unacceptable and there is no way to get this $450-$500aud. I was so disappointed that my building manager can't help me at all not even contacted me about it.   I also reported minor that my mail locker was broken  my storage was broken twice  this is also reported by St Kilda police.",Negative,Other
Inner South,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),70-79,No ,,,,,,,,,,,,,,,,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,No,,,,,,,,Lack of interest,,,,,,,Very satisfied,Very satisfied,,,
Inner South,Less than a year,English,Born in Australia (not Aboriginal or Torres Strait Islander),20-29,Yes ,Repairs and maintenance,,Rent,,,,By phone,In person,,By email,,,Unsure,Very dissatisfied,Very dissatisfied,Very dissatisfied,No,No opinion,No opinion,No,No ,,,,,,,Fairly dissatisfied,No,,,,,,,,,,,,,,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Fairly satisfied,No opinion,Major problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Major problem,Minor problem,Major problem,Not a problem at all,Major problem,No,No,,,,,,No feedback received or lack of action,,,,Employment opportunities,,,,,No opinion,No opinion,,,
Inner South,6 to 10 years,Other,Migrant (not born in Australia),50-59,Yes ,,,,,Community development activity,,,,,,Home visit,,Yes,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Yes,,,By phone,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,No,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Minor problem,Minor problem,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,Unsure,,,,,,No feedback received or lack of action,,,,,,Helping to share future programs for residents,,,Fairly satisfied,Fairly satisfied,,,
Inner Northwest,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,No ,,,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,No,No opinion,Fairly satisfied,No,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,No opinion,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,No,No,,,,,,,,,,,,,,,No opinion,Fairly satisfied,,,
Inner South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,Repairs and maintenance,Neighbourhood issues,,,,,By phone,,,By email,,,Unsure,Fairly satisfied,,Neither satisfied nor dissatisfied,Unsure,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Unsure,No ,,,,,,,Fairly satisfied,No,,,,,,,,,,,,,,Fairly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Minor problem,Major problem,Minor problem,Minor problem,Minor problem,Minor problem,Major problem,Major problem,Major problem,Major problem,Not a problem at all,Minor problem,No,No,,,,Times/day of meetings,,,,,Activities for children and young people,Employment opportunities,Training opportunities,,,,Fairly satisfied,Neither satisfied nor dissatisfied,,,
East,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,Repairs and maintenance,,,,,,,,,By email,,,Yes,Fairly satisfied,Fairly satisfied,Very dissatisfied,Yes,Fairly dissatisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Via email,,,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Yes,Very dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Very dissatisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Major problem,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Major problem,Minor problem,Major problem,Major problem,Minor problem,Minor problem,No,No,,,,Times/day of meetings,,No feedback received or lack of action,,,,,,Helping to share future programs for residents,,,Very dissatisfied,Fairly dissatisfied,Maintenance to my unit is an ongoing situation that seems to never get resolved.,Negative,Repairs - time
East,Less than a year,English,Born in Australia (not Aboriginal or Torres Strait Islander),30-39,Yes ,,,Rent,,,,By phone,In person,By letter,By email,Home visit,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,Yes,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Minor problem,Not a problem at all,,Not a problem at all,Minor problem,Unsure,Unsure,,Transport cost,,,,,,,Activities for children and young people,,,,Social activities,,,Neither satisfied nor dissatisfied,We're to dry clothes,Neutral,Other
Inner South,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),20-29,Yes ,,,,,,Other,By phone,,,,,,Yes,Very satisfied,Very satisfied,Fairly satisfied,Yes,Fairly satisfied,Very satisfied,Yes,Yes,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,No opinion,Fairly satisfied,Fairly satisfied,Yes,,In person,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,No,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Very satisfied,Very satisfied,Very dissatisfied,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,No,No,,,,,,,,,Activities for children and young people,Employment opportunities,Training opportunities,Helping to share future programs for residents,Social activities,,Very satisfied,Fairly satisfied,"I live at Cornelia and I love housing first and the Cornelia program so I have very little to complain about as I'm generally very happy with everything but there is one thing that has been an absolute pain and that is the bin room because the door is super heavy and so are the lids to the bins, plus a key is required to access the room and then there is little to no room to move around the bins to find one that isn’t completely full. I know this sounds so silly but doing all of that whilst holding my baby and trying not to get him dirty or anything makes it an absolute nightmare…there is often rubbish left in the entrance to the apartment blocks and I’m guessing it’s because a lot of the mums feel the same way. I think get rid of the need for a key and make the door automatically latch for a certain amount of time when it is opened will make it much easier :)",Neutral,Neighbourhood - bins/recycling
Inner Northwest,1 to 2 years,English,Migrant (not born in Australia),50-59,Yes ,Repairs and maintenance,,Rent,,,,By phone,In person,,By email,,,Unsure,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,No,Fairly dissatisfied,Neither satisfied nor dissatisfied,No,No ,,,,,,,Fairly satisfied,Yes,Via email,,By phone,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,No,,Fairly dissatisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Minor problem,Minor problem,Major problem,Major problem,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Major problem,Not a problem at all,Minor problem,Minor problem,No,No,,,,Times/day of meetings,,,,,,Employment opportunities,Training opportunities,,,,Fairly dissatisfied,Neither satisfied nor dissatisfied,,,
East,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,,Neighbourhood issues,,,,,,In person,,By email,,,Yes,Very dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Yes,Fairly dissatisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Fairly satisfied,No,,,,,,,,,,,,,,Fairly dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Very dissatisfied,No opinion,No opinion,Fairly dissatisfied,Not a problem at all,Major problem,Major problem,Minor problem,Major problem,Major problem,Major problem,Not a problem at all,Major problem,Major problem,Not a problem at all,Minor problem,No,No,,,,,,,,,Activities for children and young people,,,,Social activities,,Very dissatisfied,Very dissatisfied,"Each tenant should have a Police Check & Working with children Check. To be mindful of what tenant you are putting where. Additional recycle bins, cleaners come more regularly.",Negative,Neighbour issues/disputes
Inner South,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),70-79,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Fairly satisfied,Unsure,Neither satisfied nor dissatisfied,Very satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Major problem,Minor problem,,Not a problem at all,Minor problem,Minor problem,Minor problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Unsure,Location of the meetings,,,,,,,,,,,,Social activities,,Fairly satisfied,Fairly satisfied,When I moved into my house no one got in touch with me to ask is everything ok .,Negative,HousingFirst - communication materials
East,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),80+,Yes ,Repairs and maintenance,,,,Community development activity,,By phone,,,,,,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Major problem,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Yes,Yes,,,,,,No feedback received or lack of action,,Lack of interest,,,,,Social activities,,Very satisfied,Very satisfied,would like more notice on emergency procedures when lift is out of order.,Negative,HousingFirst - communication materials
Inner South,More than 10 years,English,None of the above,60-69,Yes ,Repairs and maintenance,,Rent,,,,By phone,,,,,,Yes,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Unsure,Very dissatisfied,Neither satisfied nor dissatisfied,Yes,Yes,Very dissatisfied,Very dissatisfied,Fairly dissatisfied,Very dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Very dissatisfied,Yes,Via email,,By phone,,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Fairly satisfied,Very dissatisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Minor problem,Major problem,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Major problem,Minor problem,Major problem,Minor problem,Not a problem at all,Minor problem,Yes,Yes,,,Family care responsibilities,,,,,,,,,,,Other,Fairly satisfied,Fairly dissatisfied,Very disappointed with time and quality of maintenance. The time and effort I have had to put in to get my bathroom fixed because of Black mould has been terrible. Reported it 4 years ago and it still hasn’t been completed. The work so far has been very poor and the quality of work really bad. This should not be happening. Feel depressed and exhausted by the whole process.,Negative,Repairs - time
Inner South,More than 10 years,English,None of the above,60-69,Yes ,Repairs and maintenance,,Rent,,,,By phone,In person,,,,,Yes,Very satisfied,Very satisfied,Fairly satisfied,Yes,Fairly satisfied,Very satisfied,Yes,No ,,,,,,,Neither satisfied nor dissatisfied,No,,,,,,,,,,,,,,Fairly dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,,Major problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Yes,Yes,,,,Times/day of meetings,,,,,,,,,,Other,Fairly satisfied,Fairly satisfied,I have been waiting for my shower floor to be fixed  It’s been two years and still nothing has been done  And I wish people would stop dumping there rubbish in the car park (Furniture etc,Negative,Repairs - time
East,6 to 10 years,English,None of the above,60-69,Yes ,Repairs and maintenance,Neighbourhood issues,,,,,By phone,In person,,By email,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,No,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Minor problem,Major problem,Major problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,Times/day of meetings,,,,,,,,,Social activities,,Very satisfied,Very satisfied,,,
East,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),70-79,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,,Fairly satisfied,Yes,Fairly satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,By phone,,,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,,Fairly satisfied,No,,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Major problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,Transport cost,,,,,,,,,,,Social activities,,Fairly satisfied,Fairly satisfied,,,
Inner South,Less than a year,English,Born in Australia (not Aboriginal or Torres Strait Islander),0-19,Yes ,Repairs and maintenance,Neighbourhood issues,,,,Other,,,,By email,Home visit,,No,Neither satisfied nor dissatisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Yes,Neither satisfied nor dissatisfied,Fairly dissatisfied,Yes,Yes,Fairly dissatisfied,Very dissatisfied,Fairly dissatisfied,Fairly dissatisfied,No opinion,Fairly dissatisfied,Fairly satisfied,No,,,,,,,,,,,,,,Fairly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Fairly dissatisfied,Very satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Minor problem,Minor problem,Major problem,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,Yes,,,,,,No feedback received or lack of action,,,Activities for children and young people,Employment opportunities,,,,,Fairly satisfied,Fairly satisfied,,,
East,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,,,,,,Other,By phone,,,,,,No,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Unsure,Fairly satisfied,Very satisfied,Unsure,No ,,,,,,,Very satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,Times/day of meetings,,,,,Activities for children and young people,Employment opportunities,Training opportunities,,Social activities,,Fairly satisfied,Fairly satisfied,,,
South,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),70-79,Yes ,Repairs and maintenance,,,Residency transfer,,,,,,,Home visit,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,Via email,,,,,,,,Very satisfied,Very satisfied,Very satisfied,No,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,,,,,,,,,Helping to share future programs for residents,,,Very satisfied,Very satisfied,,,
West,Less than a year,Other,None of the above,60-69,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,No,Very satisfied,Very dissatisfied,Very satisfied,Yes,No opinion,Fairly satisfied,Yes,No ,,,,,,,Neither satisfied nor dissatisfied,Yes,,,By phone,,Fairly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No opinion,Neither satisfied nor dissatisfied,No opinion,Very dissatisfied,No,,Very dissatisfied,Very satisfied,Very satisfied,No opinion,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,,,,Language barrier,Lack of interest,,,,,,Other,Very satisfied,Very satisfied,,,
South,6 to 10 years,Other,Migrant (not born in Australia),50-59,Yes ,Repairs and maintenance,,,,,Other,By phone,,,By email,,,Unsure,Fairly satisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Yes,Neither satisfied nor dissatisfied,Fairly satisfied,Yes,Yes,Very satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Fairly dissatisfied,Fairly satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Fairly satisfied,Major problem,Minor problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,,,,,Lack of interest,,,,,,Other,Fairly satisfied,Fairly satisfied,,,
West,Less than a year,English,Migrant (not born in Australia),70-79,Yes ,,,,,,Other,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,,No,,,,,,,,,,,,,,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,,,No feedback received or lack of action,,,,,,,Social activities,,Very satisfied,Very satisfied,I’m facing the main road and traffic noise is very loud especially when trucks and semitrailer go by .  It wakes me often . . Windows are not soundproof enough .,Negative,Neighbourhood - area/amenities
Inner South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,Repairs and maintenance,,Rent,,,,By phone,,,By email,,,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Unsure,Fairly satisfied,Very satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,No,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Minor problem,Minor problem,Minor problem,Not a problem at all,Minor problem,Minor problem,Minor problem,Minor problem,Minor problem,Not a problem at all,Minor problem,No,No,,,Family care responsibilities,,,,,,Activities for children and young people,,,,,,Fairly satisfied,Fairly satisfied,"Overall Housing First are very helpful when called & with the new maintenance contractors they are very efficient l have no complaints. l am in one of the Townhouses. It is quiet on the Town house side which l really appreciate as the tenants in the 5 town houses have been here since the start when this property was built & there is never any issues.  I do really like & appreciate the Townhouse myself & my 11 yr. old son are in. The only thing l don't like which is not Housing First fault though is that the area has changed a lot in the past 10 years due to problems with ICE. I don't have a car so my 11yr old & l have to walk around the immediate area which is most often not a good experience due to drug issues & shady individuals in the area. If in the future you have any New Townhouses/2 bedrooms properties in a quieter area l would be most interested in moving out of the area here so my son & l are away from the drugs, yelling & screaming in the streets that we see daily.",Negative,Neighbourhood - anti-social behaviour
